"time","M","Y","Z","I"
717,620.106,40.3571,13.1873,332
718,631.896,40.3254,13.137,332
719,624.506,40.2355,13.0753,331
720,620.556,40.176,13.0316,335
721,614.3,40.0687,12.9863,334
722,622.17,40.0259,12.9518,334
723,631.953,40.0418,12.9268,333
724,646.158,40.1271,12.8716,331
725,664.342,40.2871,12.8088,328
726,650.108,40.3356,12.749,328
727,656.197,40.4194,12.7034,328
728,662.577,40.5874,12.6645,332
729,653.92,40.6794,12.6545,332
730,660.528,40.8313,12.6263,334
731,668.275,40.9939,12.6077,332
732,671.647,41.162,12.574,332
733,680.083,41.3819,12.5606,333
734,677.774,41.563,12.5656,333
735,679.297,41.7091,12.5923,331
736,676.167,41.8317,12.6425,332
737,674.251,41.9284,12.6577,332
738,677.925,42.0266,12.684,331
739,674.033,42.1141,12.7367,333
740,677.73,42.2301,12.7656,334
741,665.757,42.2275,12.8133,332
742,647.781,42.0919,12.8643,331
743,639.703,41.8922,12.9171,329
744,635.133,41.7195,12.9861,332
745,639.119,41.6041,13.0429,333
746,639.107,41.5252,13.0888,335
747,640.897,41.4669,13.1272,335
748,628.107,41.292,13.1576,332
749,617.496,41.0644,13.1884,332
750,622.347,40.9054,13.2158,333
751,619.512,40.7323,13.2523,332
752,622.361,40.5849,13.2514,331
753,638.425,40.5608,13.2089,331
754,638.482,40.5274,13.1462,330
755,650.234,40.5513,13.092,328
756,644.611,40.5476,13.0558,329
757,641.35,40.547,13.0311,331
758,653.715,40.6169,13.0127,330
759,658.543,40.699,12.9579,329
760,647.589,40.7119,12.8864,330
761,650.33,40.7914,12.8365,334
762,649.197,40.8548,12.7822,334
763,666.177,41.0008,12.736,332
764,669.76,41.1683,12.7284,333
765,667.584,41.3033,12.7179,333
766,662.925,41.3925,12.7254,333
767,657.833,41.4129,12.7243,331
768,664.049,41.4727,12.7241,331
769,652.544,41.4491,12.746,331
770,662.89,41.4973,12.7718,331
771,666.801,41.5667,12.7758,331
772,661.321,41.5919,12.8008,331
773,654.589,41.5694,12.8207,331
774,658.43,41.575,12.8665,331
775,637.587,41.4524,12.919,332
776,653.028,41.4467,12.9614,332
777,646.225,41.4328,12.9894,335
778,650.003,41.4956,12.9958,339
779,643.503,41.4949,13.0146,338
780,643.052,41.4666,13.0072,336
781,640.847,41.4264,13.0223,336
782,631.662,41.3159,13.0441,335
